Country,Year,HappinessScore,LifeLadder,LogGDP,SocialSupport,HealthyLifeExpectancyAtBirth,FreedomToMakeLifeChoices,Generosity,PerceptionsOfCorruption,PositiveAffect,NegativeAffect,ConfidenceInNationalGovernment
Jordan,2018,4.906,4.63893365859985,9.02443504333496,0.799544334411621,66.8000030517578,0.762420296669006,-0.183489695191383,,,,
Kazakhstan,2018,5.809,6.00763607025147,10.1111660003662,0.936656713485718,64.5999984741211,0.840182960033417,-0.108595311641693,0.823782980442047,0.69319874048233,0.161542281508446,0.615031957626343
Kenya,2018,4.509,4.65570259094238,8.03267765045166,0.706719875335693,60.0999984741211,0.821412980556488,0.306653082370758,0.844244062900543,0.759102880954742,0.236920773983002,0.675367295742035
Kosovo,2018,6.1,6.39182567596436,,0.822406530380249,65.1498260498047,0.889737010002136,,0.922078192234039,0.778271317481995,0.170248463749886,0.347546547651291
Kyrgyzstan,2018,5.261,5.29738330841064,8.15130519866943,0.898147821426392,64.0999984741211,0.94494765996933,0.287731975317001,0.907405316829681,0.763270556926727,0.203300148248672,0.497065544128418
Laos,2018,4.796,4.85940217971802,8.81360340118408,0.704738140106201,58.7000007629395,0.906660974025726,0.140599459409714,0.634239852428436,0.852213561534882,0.331882506608963,
Latvia,2018,5.94,5.90115404129028,10.1841173171997,0.913276314735413,66.8000030517578,0.608207643032074,-0.216999530792236,0.798949241638184,0.585233271121979,0.191870555281639,0.197162300348282
Lebanon,2018,5.197,5.16718673706055,9.50795841217041,0.829380631446838,67.0999984741211,0.607030689716339,-0.066325932741165,0.906650304794312,0.463880777359009,0.270688891410828,0.219074845314026
Liberia,2018,3.975,4.13485288619995,6.63016986846924,0.726750135421753,56.0999984741211,0.76576954126358,0.096002630889416,0.867924094200134,0.659731566905975,0.436099499464035,0.703912019729614
Libya,2018,5.525,5.49397754669189,,0.824165165424347,62.2999992370606,0.780558526515961,,0.645838797092438,0.705535411834717,0.398903101682663,
Lithuania,2018,6.149,6.30887889862061,10.3395118713379,0.929350137710571,67.3000030517578,0.698945105075836,-0.240978553891182,0.851745069026947,0.516805112361908,0.213559716939926,0.323758095502853
Luxembourg,2018,7.09,7.24263095855713,11.4539279937744,0.902192413806915,72.5999984741211,0.88392984867096,-0.025496061891317,0.385146111249924,0.750309467315674,0.201894342899322,0.755200862884522
Macedonia,2018,5.274,5.23983478546143,9.50304412841797,0.848915159702301,67.5,0.744800925254822,-0.040290869772434,0.909934341907501,0.590138077735901,0.298352867364883,0.396141588687897
Madagascar,2018,3.933,4.07058668136597,7.27989482879639,0.665512979030609,59.0999984741211,0.551473081111908,0.005692420061678,0.88914567232132,0.752341032028198,0.362013816833496,0.44230592250824
